Site,Year,Type,width,color,nectar,sepal,totpinene,indoleN,seeds,seedsinit,flyescape
agg,2017,H,NA,NA,NA,NA,NA,NA,1.11,NA,0.96296
agg,2017,A,3.56667,0.40216,1.82292,NA,5.441,NA,107.68,133.13,0.80488
agg,2017,A,3.4,0.65781,1.30208,NA,23.557,NA,472.29,541.97,0.87356
agg,2017,A,3.6,0.62309,2.12674,NA,43.204,NA,283.08,337.22,0.82828
agg,2017,A,3.6,0.67447,1.04167,NA,55.76,NA,180.86,221.48,0.80822
agg,2017,A,4.06667,0.69121,1.48438,NA,4.832,NA,220.35,285.81,0.77419
agg,2017,A,2.85,0.63795,4.58333,NA,54.76,NA,105.67,114.94,0.92
agg,2017,A,3.5,0.62648,2.46094,NA,35.95,NA,90.75,93.51,0.93333
agg,2017,A,3.53333,0.61379,1.92708,NA,89.467,NA,38.75,37.89,0.9
agg,2017,A,3.4,0.63809,3.6849,NA,9.013,NA,63.75,69.6,0.92
agg,2017,A,4,0.62799,1.04167,NA,4.859,NA,16,65,0.2
agg,2017,A,NA,0.64282,0.96354,NA,15.707,NA,20.25,31.5,0.66667
agg,2017,A,3.5,0.38744,1.51042,NA,6.05,NA,83.5,121.16,0.69231
agg,2017,A,2.8,0.64663,2.86458,NA,2.707,NA,69.2,122.01,0.56863
agg,2017,A,3.63333,0.65841,2.1875,NA,56.761,NA,143.39,216.94,0.66667
agg,2017,A,3.16667,0.58367,NA,NA,5.475,NA,1.56,4.67,0.33333
agg,2017,A,2.86667,0.45699,3.15972,NA,13.77,NA,126.26,175.88,0.72
agg,2017,A,3.63333,0.4637,2.67361,NA,21.656,NA,32,102.19,0.31818
agg,2017,A,3.56667,0.3754,1.8099,NA,26.346,NA,40.15,61.6,0.66667
agg,2017,A,2.96667,0.42537,1.84028,NA,22.735,NA,84.36,91.64,0.92308
agg,2017,A,3.5,0.46048,NA,NA,NA,NA,44,48,1
agg,2017,A,3.15,0.47181,0.67708,NA,17.598,NA,63.33,79.41,0.77778
agg,2017,A,3.2,0.72621,0.82465,NA,8.787,NA,69.67,121.6,0.58621
agg,2017,A,3.03333,0.4364,1.43229,NA,8.855,NA,38.5,64.17,0.6
agg,2017,A,2.9,0.45444,1.13281,NA,21.352,NA,17.5,17.5,1
agg,2017,A,3.46667,0.66529,0.94618,NA,57.127,NA,24.5,24.5,1
agg,2017,A,3.25,0.54714,1.96181,NA,15.635,NA,70.06,74.42,0.94444
agg,2017,A,3.5,0.44275,1.66667,NA,36.593,NA,25,26.67,0.9
agg,2017,A,4.06667,0.48638,1.46701,NA,7.292,NA,255.81,388.48,0.66176
agg,2017,A,3.3,0.47415,NA,NA,5.102,NA,106.84,113.59,0.94737
agg,2017,A,3.1,0.55107,1.59722,NA,17.379,NA,319.22,363.48,0.88525
agg,2017,A,3.7,0.45533,1.98785,NA,4.649,NA,200.34,244.19,0.83333
agg,2017,A,NA,0.6586,2.48264,NA,21.949,NA,98.06,184.14,0.53125
agg,2017,A,3.5,0.40598,0.54688,NA,NA,NA,42.07,34.44,1
agg,2017,A,3.83333,0.36223,NA,NA,7.762,NA,67.9,77.5,0.88889
agg,2017,A,3.46667,0.37839,0.83333,NA,4.659,NA,56.04,111.82,0.5
agg,2017,A,3.6,0.65513,2.03125,NA,15.589,NA,272.79,291.73,0.93333
agg,2017,A,3.7,0.67632,0.20833,NA,10.764,NA,NA,0,NA
agg,2017,A,3.66667,0.66621,1.09375,NA,38.982,NA,292.49,362.4,0.80556
agg,2017,A,3.76667,0.66797,0.83333,NA,8.909,NA,45,39.86,1
agg,2017,A,3.76667,0.66797,0.83333,NA,22.867,NA,45,39.86,1
agg,2017,A,3.15,0.63643,1.60156,NA,15.137,NA,48,90.67,0.5
agg,2017,A,3.5,0.64442,1.27604,NA,80.285,NA,332.11,363.87,0.91358
agg,2017,A,2.55,0.60989,0.84201,NA,13.077,NA,41.16,37.09,1
agg,2017,A,2.4,0.60989,1.4974,NA,47.702,NA,NA,0,NA
agg,2017,A,3.6,0.61236,1.875,NA,99.766,NA,18.57,23.83,0.6
agg,2017,A,3.13333,0.46905,NA,NA,7.34,NA,76.65,133.55,0.59091
agg,2017,A,3.76667,0.63269,1.9184,NA,31.413,NA,424.41,488.56,0.86555
agg,2017,A,2.8,0.55667,1.24132,NA,5.1,NA,103.87,110.41,0.96
agg,2017,A,3.86667,0.41797,0.625,NA,13.911,NA,75.33,93.7,0.82609
agg,2017,A,3.56667,0.6581,1.57878,NA,7.182,NA,131.07,151.74,0.86842
agg,2017,A,3.7,0.5622,2.03125,NA,46.071,NA,72.22,105.11,0.69565
hyb,2017,H,3.4,0.3241,NA,NA,NA,NA,NA,NA,NA
hyb,2017,H,NA,NA,NA,NA,NA,NA,8.75,12.73,0.5
hyb,2017,H,2.73333,0.64631,0,NA,3.532,NA,16.79,18.83,0.75
hyb,2017,H,2.93333,0.06514,0.18229,NA,34.412,0,41.85,54.98,0.75758
hyb,2017,H,3.5,0.39422,0.88542,NA,8.141,1.8155,52.5,79.57,0.61111
hyb,2017,H,3.26667,0.35095,0.72049,NA,9.825,0.7925,80.09,111.07,0.71667
hyb,2017,H,2.86667,0.42642,2.91667,NA,9.615,0.3129,40.38,42.93,0.9375
hyb,2017,H,3.56667,0.37774,1.81424,NA,21.302,0.5838,58.89,83.21,0.69231
hyb,2017,H,2.9,0.5127,0.65104,NA,23.548,0.4839,71.94,88.83,0.83333
hyb,2017,H,2.75,0.05222,0.26042,NA,17.052,0,38.91,54.48,0.72222
hyb,2017,H,2.65,0.425,0.49479,NA,24.951,0.7822,97.96,110.79,0.90323
hyb,2017,H,3.16667,0.04112,0.78125,NA,2.281,NA,25.65,39.81,0.68182
hyb,2017,H,2.7,0.37711,0.57292,NA,5.554,0,96.53,100.1,0.95455
hyb,2017,H,2.7,0.2786,0.43403,NA,8.205,0.3479,44.2,78.54,0.56098
hyb,2017,H,2.76667,0.38106,0.83333,NA,9.697,0.7242,23.18,42.43,0.57143
hyb,2017,H,2.3,0.34284,0.05208,NA,3.558,NA,56.5,65.59,0.86957
hyb,2017,H,2.55,0.16911,0,NA,6.374,NA,NA,NA,0
