Plant_ID,Block,Source,Treatment,date_sampling,days_setup,nectar_vl,nectar_conc,fl_width,fl_lenght,mean_size,diameter,buds,flowers,buds_2,flowers_2,init_fruits,init_fruits_2,mature_fruits,mature_fruits_2,tot_fruits,tot_fruits2,fruit_tot,mean_seeds,seedset
SS15,3,SS,C,2021-09-15,34,1.36328125,42.1,56.235,55.305,55.76806142,5.63,0,0,0,0,124,97,38,41,162,138,150,4.6,634.8
SS16,3,SS,C,2021-08-15,3,1.33125,37.95,50.575,56.085,53.25879153,5.5,0,8,2,8,32,38,0,2,32,40,36,4.4,176
SS18,3,SS,C,2021-08-15,3,0.8234375,37.65,40.01,50.31,44.86538866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS19,3,SS,C,2021-09-15,34,1.4375,38.25,45.415,55.085,50.01684991,6.04,9,7,0,0,75,125,21,1,96,126,111,4.7,592.2
SS2,3,SS,C,2021-08-16,4,1.7828125,40.2,49.85,60.465,54.90155052,6.33,0,1,0,0,63,59,26,30,89,89,89,4.7,418.3
SS21,3,SS,C,2021-08-15,3,0.925,37.9,81.44,63.39,71.85041127,6.16,14,10,17,1,0,4,0,0,0,4,2,1.333333333,5.333333333
SS22,3,SS,C,2021-08-16,4,1.1046875,42.45,49.895,58.465,54.01028768,5.13,0,0,0,0,117,62,43,44,160,106,133,4.7,498.2
SS24,3,SS,C,2021-08-15,3,1.9390625,40.35,84.935,59.42,71.04109867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SS25,3,SS,C,2021-08-15,3,2.99453125,38.1,60.58,61.595,61.08539187,5.13,2,5,0,1,130,162,0,1,130,163,146.5,5.6,912.8
SS26,3,SS,C,2021-08-15,3,2.24921875,38.05,49.495,49,49.24687807,4.82,11,7,5,2,49,62,51,54,100,116,108,5.4,626.4
SS29,3,SS,C,2021-08-15,3,2.1,38.6,45.52,55.005,50.03826136,5.29,11,12,6,0,98,170,10,9,108,179,143.5,4.6,823.4
SS3,3,SS,C,2021-09-15,34,2.63984375,40.05,47.21,53.97,50.47696207,5.25,9,12,15,2,18,52,0,0,18,52,35,2.8,145.6
SS4,3,SS,C,2021-08-16,4,1.36171875,40.15,52.185,58.64,55.31842731,5.18,0,2,0,0,128,151,1,15,129,166,147.5,4.9,813.4
SS5,3,SS,C,2021-08-30,18.5,1.74765625,38.35,41.675,62.79,51.15440597,5.43,1,3,0,0,109,81,8,39,117,120,118.5,4.7,564
SS6,3,SS,C,2021-08-16,4,3.5515625,40.35,44.485,68.875,55.35254624,5.63,0,0,0,0,63,41,66,66,129,107,118,4.7,502.9
